curp ,idSucursal ,rfc ,nss,fechaNacimiento,fechadeIngreso,salario,antiguedad,edad
377263025253483845,2,9001725602716,435263483,1998/12/13,2017/05/22,5397.8,2022/03/09,33
054462363935356078,16,5212161657741,815581437,1991/06/01,2019/10/27,5210.8,2022/03/12,33
302754867929929962,7,4359924460757,750506571,1982/08/09,2019/05/18,5037.9,2022/03/25,31
264788040898803102,32,3918541718812,369122504,1997/06/05,2018/06/27,4929.3,2022/04/01,36
522219227292752038,49,8778580186027,780393331,1983/11/04,2020/03/22,5116.0,2022/03/21,41
514642806906952730,47,5175379990378,986290275,1999/04/17,2021/05/18,5900.9,2021/09/08,21
311753944891606265,46,4521462200958,899183627,1993/10/26,2016/10/25,4132.0,2021/10/10,31
118726947916863131,25,6668462952790,359747057,1984/05/01,2018/06/18,2184.1,2022/03/03,28
701211478045007603,29,9017340025339,483793037,2003/03/09,2018/12/21,4930.1,2022/03/26,27
018790757116404838,61,4235349825875,989538025,1983/02/09,2018/12/08,5721.8,2021/06/23,42
344541757726526183,10,2530068983519,289323606,1985/08/02,2018/03/16,2646.9,2022/04/19,22
380667103793723621,57,6975634087621,257784932,1986/12/18,2017/02/10,5123.4,2022/04/30,39
075130605545988622,42,8835376131827,660195232,1981/09/17,2016/05/03,3047.6,2022/01/24,31
863055454603315282,22,5762445510635,144280918,1987/08/28,2022/02/24,2696.7,2022/03/02,40
924066185498471412,60,5038055881609,846920706,2003/07/24,2022/04/14,2155.1,2021/12/19,36
495221616046287188,26,4241996739901,010999706,2002/02/08,2020/05/06,2806.6,2021/08/26,20
120492572696262600,21,4457629709797,623776647,1994/06/23,2019/12/01,2848.7,2022/02/28,37
843129606806840028,60,6854678983206,205022032,1989/08/02,2017/04/21,5811.0,2021/08/17,31
257676669217854217,66,4820956639073,081138089,1998/05/31,2019/08/14,3212.0,2021/10/15,42
385116684572082452,39,8375213183844,084210730,2002/09/26,2017/07/04,2834.7,2021/10/28,35
847901501696185595,38,1403218023310,028456079,1987/11/25,2016/08/09,5899.9,2021/06/18,32
592189955912331508,11,8869270950129,945854049,1995/08/03,2019/09/28,4202.2,2022/03/17,23
352151763083892693,36,3580572618100,240541602,1989/12/21,2016/11/24,2018.0,2022/04/21,41
746646513939868105,62,3154581314665,482313267,1996/07/14,2021/05/27,5590.2,2021/11/28,40
140795170857722141,3,2203770281686,901540798,1988/09/25,2020/05/12,5262.9,2021/09/07,37
175577549064995206,33,7158472918854,314877046,1983/10/24,2019/07/11,2504.7,2021/07/26,34
136599312153672648,23,4953338859629,079077124,1996/11/03,2020/11/14,2381.6,2021/09/25,30
657762110936984471,23,4921023290319,432146201,1993/07/05,2017/10/22,3940.2,2022/01/06,39
153488473585819280,54,7284903571585,277788560,2002/04/09,2019/11/29,2160.2,2022/02/19,41
057461469900484276,46,8114169372605,503723828,1997/02/02,2019/08/08,2503.3,2021/12/23,38
917861826173659961,63,3161677778045,848607311,1988/07/29,2017/09/14,4167.6,2021/07/25,22
311179467390007059,47,7510720495482,643123180,1980/08/07,2019/12/16,2120.4,2021/09/01,39
618281783131364326,52,5110701801812,865746242,1994/12/29,2018/05/09,2947.6,2022/05/18,23
861412324863155072,20,4979072666122,477376978,1999/04/11,2021/09/08,2251.4,2022/05/03,42
901180150631278668,56,2719665164019,238957723,1988/03/25,2018/10/27,4433.8,2022/02/07,24
131156092768417942,32,8459691853790,752775321,2001/09/13,2019/12/20,4154.1,2021/10/12,42
740816947734319288,30,6897077631089,609007357,1989/04/01,2022/05/11,3983.2,2022/01/28,20
023677709645764279,33,2091730273441,043536434,1992/03/22,2021/03/11,4456.3,2021/09/02,29
387574648343501580,25,0077026058197,802592114,1998/10/05,2022/05/27,5819.6,2021/11/23,21
532169037319123732,19,6437277781402,858001040,1991/08/20,2018/03/30,5946.3,2022/02/06,35
448852880252873659,56,5187377021536,450341108,1988/12/24,2018/07/13,5095.0,2022/01/20,28
027737756713026613,2,2134417755320,970539860,2001/07/09,2017/10/06,5868.7,2022/06/10,29
935458276246156041,21,4511905469195,711461371,1994/07/01,2020/11/10,3009.2,2021/11/25,41
185029705088837499,63,7275829060586,838493086,1981/08/07,2018/02/03,3482.4,2022/04/09,27
692345565548461755,17,2713859783718,382341006,1987/06/09,2019/01/02,5987.5,2022/02/03,33
125108462355237021,47,2508082713361,626821308,1985/05/03,2022/05/20,3804.5,2021/11/06,25
141632531869116643,33,5405305149772,890386749,1992/08/18,2020/03/23,4131.7,2021/11/19,27
540180260734197095,51,3034973796444,698433331,1984/03/15,2019/09/10,2730.1,2021/11/05,36
771447703742675789,29,3327459419210,155498351,2003/04/28,2022/02/25,5638.9,2021/10/15,37
871980282851902121,4,3379599835910,496590127,1995/06/22,2017/02/28,3469.1,2021/08/09,22
763356621969490582,20,2602112350962,488943198,1987/11/08,2020/01/20,5185.4,2021/07/26,34
610795954733017861,22,0139705522894,259231741,1985/03/12,2018/02/02,4971.5,2021/12/13,42
062103542629566568,10,4032188884974,190638941,1994/05/13,2019/12/23,4958.7,2021/07/30,30
297450368367757096,12,9774580197025,097040287,1987/09/16,2020/05/05,5288.7,2022/03/21,32
062448369552453657,46,0916380859296,377820824,1999/11/30,2017/12/31,4685.3,2021/12/10,23
440475588903612378,36,7815617284097,615261604,1982/07/17,2019/10/05,2762.9,2021/09/19,41
667790204982238820,6,1652642430833,795890575,1982/02/03,2022/05/22,5862.7,2022/04/08,37
021792910986169916,31,3246283095808,368358303,1988/07/06,2021/03/02,5757.5,2021/07/14,20
871627460626339527,58,1013783238988,200712229,1990/04/25,2018/05/31,5837.1,2021/11/28,29
472075941670469877,58,0204869569561,114751673,2001/11/23,2018/05/01,2590.3,2022/03/26,41
515293239396423517,32,2446398345730,630963980,1996/03/19,2021/11/25,2163.4,2021/11/26,27
845967445505527820,19,8120939480103,897188255,1980/04/10,2021/03/07,3476.5,2022/05/06,35
483014047884222217,10,0848632747481,561434905,1991/12/16,2019/04/04,4489.6,2021/11/17,26
994595984919168144,2,9727693116945,924962509,1992/10/07,2016/06/28,4426.6,2022/03/07,31
029931612687243328,9,3231817436887,804313127,1988/03/11,2022/06/07,5858.6,2021/07/31,32
378325915185034401,56,1915917996840,964909367,2001/12/16,2021/07/08,5462.2,2021/12/06,28
447259615343474486,44,3905875298331,779558022,1986/10/27,2021/08/02,4658.8,2022/02/12,34
844782026599584828,11,4832536646459,119965498,1989/08/17,2016/10/19,3515.3,2022/04/29,22
152520122193682432,54,4357862870252,278086227,1999/07/10,2017/02/20,3325.6,2022/01/21,28
785333986732294879,2,3537822534442,217904148,1988/06/23,2021/05/18,3225.2,2022/06/07,31
023742442123303857,26,4383903259468,084617729,1996/10/22,2019/11/28,3792.3,2021/09/11,36
208744574990517575,30,5103202360312,266799763,1989/07/07,2018/10/24,2016.1,2021/11/07,21
109369813287546379,61,8349609376423,607629667,1993/05/05,2022/01/06,4509.1,2022/05/07,23
990033852196838680,43,2007697534284,538510914,1987/02/23,2018/05/05,5959.3,2021/06/16,33
171085894932803458,44,2179029543582,903027502,1990/09/13,2020/05/26,3012.7,2021/12/20,33
269398382534379129,28,9094452059508,444467564,1993/12/14,2019/10/18,5941.2,2021/10/08,39
326936897612564925,16,4965374225083,785656161,1988/12/26,2019/12/13,5117.4,2022/04/30,38
745523898305305456,46,1120212308404,687143189,1991/02/09,2021/07/11,4396.9,2022/04/16,39
344087628882667383,24,7921617011765,063322035,1993/07/03,2019/08/04,5238.3,2021/10/29,36
168154608955541702,21,0599202229930,133403813,2000/12/18,2019/01/03,5445.5,2021/09/20,24
453621062842782934,5,4990128051807,692810113,1985/04/29,2021/09/14,5894.3,2022/03/16,29
950176014295785412,9,4604056636477,293983269,2003/09/22,2017/01/24,4491.4,2021/12/11,20
036762059875734354,59,1016629225632,207348357,1984/10/08,2020/08/18,4696.7,2022/03/25,22
044672760666162701,45,2639404173236,182447577,1991/03/20,2021/11/17,2070.9,2022/02/28,37
450792311294560699,25,2875593609572,467095107,1998/11/21,2021/08/04,5613.5,2022/01/04,35
712792799433082702,29,8666012975870,496458509,2002/08/07,2016/01/16,5568.2,2022/05/04,23
878598310247946488,57,9813954152059,768053044,1986/06/16,2016/06/19,4428.9,2021/11/13,38
779601255086655618,56,7751741234709,642350400,1981/10/15,2020/01/08,2706.3,2022/04/03,24
046180259037335294,53,6641135533120,847647201,1995/05/28,2016/12/30,2012.9,2022/02/25,42
971357427518005972,52,1309231370888,977619055,1992/02/14,2020/12/05,3481.0,2021/08/29,41
754479896019830127,68,7597122212745,528608632,1995/11/15,2017/10/13,4829.4,2021/06/28,37
544131165394859289,24,9993313558220,345250308,2003/01/27,2019/02/21,3996.4,2021/12/21,26
261346082333196136,5,4552617733442,619918419,1998/09/26,2021/08/06,5104.6,2022/06/02,42
584197178738805406,55,1421700991092,097143647,1992/07/16,2021/09/04,4421.5,2022/01/23,34
461696336013127527,57,7368762779916,875610046,1993/10/12,2022/04/27,3650.7,2022/04/04,20
098374640047920046,41,6511803469185,394604262,1991/11/11,2020/08/03,3132.4,2022/05/30,37
571276994041081534,41,8317002485023,001252471,1995/11/26,2016/03/25,3138.5,2022/04/10,25
915193667348323978,36,1620792226823,206218966,1995/07/06,2018/01/26,2627.1,2022/05/22,33
083703895761254959,62,6119589315338,067598425,2003/11/28,2017/02/09,3946.7,2022/03/10,31
818665728298554414,36,7635054755561,875678984,1986/10/29,2020/11/29,4875.5,2021/08/14,21
990931308100389003,13,0768221857619,841636658,1989/03/13,2020/05/27,3327.3,2022/05/24,36
149056142860518395,3,2449878503942,871668295,1988/06/27,2022/03/28,5991.8,2021/11/02,38
454382213448482759,19,5912056219985,065241362,1981/05/10,2022/01/16,4790.6,2021/11/03,38
144124290840349250,61,5926753060978,705383988,1985/08/23,2016/05/14,5659.3,2021/11/08,42
987977005619639187,48,9726692435439,311602053,1993/05/25,2017/08/15,4026.4,2022/01/20,42
264099426424307010,17,2184572051470,036573954,1984/01/04,2016/06/01,2899.7,2022/04/21,22
117926588371189932,38,7110007626191,631252842,1997/09/05,2020/04/10,5152.2,2022/05/21,32
309599740618748888,18,1214244284188,232253351,1985/05/26,2017/10/17,3460.2,2021/08/28,20
300509490687551987,63,3146827303955,935724425,1995/07/28,2019/09/03,4206.0,2022/06/12,32
196791888813025563,58,6833719581935,488752330,1980/08/09,2020/12/10,4554.4,2022/05/21,20
796358014909324863,24,8815797239671,283206772,1992/03/02,2020/01/21,2836.1,2022/05/07,28
057517063635015433,14,7865463831865,628462387,2000/09/30,2020/12/31,4723.0,2021/09/07,39
515135448026196572,52,4957145304654,439090483,1994/07/02,2019/10/23,3039.2,2021/12/23,34
046101683214182869,47,9374915134141,000522359,1995/03/11,2020/09/01,4698.0,2021/10/12,32
148079562732391755,15,7635873766185,898315748,1986/03/09,2019/05/14,3893.7,2022/01/23,30
925395047856131922,6,9530269758026,067709028,1990/03/08,2021/02/01,4762.0,2022/05/18,21
615800539331564217,4,9518331891664,581509586,1982/04/01,2021/11/26,4983.4,2022/02/28,36
583937366079637763,31,5877464257204,822406085,1985/07/21,2017/02/05,4416.9,2022/05/18,40
327560335702683172,35,6551093801767,506150097,1987/01/27,2019/01/02,3472.0,2021/11/28,42
342001241880229592,48,1414541035002,643459531,1989/03/18,2022/01/06,2583.0,2021/07/15,20
773464406523353254,7,9328948264628,812658500,2000/05/07,2019/10/26,2134.0,2021/10/31,29
348994295765937354,2,7520842431071,312122571,1994/04/29,2021/02/28,5976.5,2021/07/27,40
527827135999631898,23,4898850959843,529533303,1987/01/14,2016/10/31,5425.6,2022/03/05,24
502835555093810763,38,1057090265216,266397835,2001/11/13,2018/05/11,2196.8,2021/09/02,36
415123278983542339,42,2344788136282,090246786,1994/08/16,2018/05/19,2645.2,2021/06/21,41
663187033213477050,67,6038142117929,771926946,1993/12/18,2020/01/19,5828.0,2021/08/16,27
742096478622846292,39,7396007362077,705217111,1991/08/04,2020/10/11,2850.5,2022/02/23,34
075950778604765769,28,2217909345116,823830733,1997/09/28,2022/05/06,4707.8,2021/11/25,37
205565240665100643,68,0759642740965,760287463,1982/04/23,2019/02/21,5809.2,2021/11/18,38
428513860077342509,65,2686072229577,070223953,1995/07/14,2018/10/14,5535.7,2021/08/05,26
076121959074199315,46,3899215420061,320786267,2003/01/23,2017/09/29,2973.9,2022/03/27,32
860093463928225854,50,6456657812869,639669157,1998/11/22,2017/06/08,3511.7,2021/06/30,27
064253291366419663,14,0163006080007,613423844,1980/06/02,2021/12/01,3334.5,2022/01/14,42
528418905156666724,19,8585147266788,263152039,1994/10/27,2018/06/25,5036.6,2021/10/19,42
541595565151880626,43,6763325339107,254045877,1993/04/24,2018/12/18,4607.5,2021/12/25,34
869340934625397181,62,9456238023768,774727497,1996/05/11,2020/12/20,5993.3,2022/04/20,37
520044477517122302,52,2890663255765,954962578,1989/10/13,2020/08/03,3777.0,2021/07/07,35
091158633094479280,24,6642028790661,054540904,1981/03/14,2018/09/03,4588.4,2021/07/19,25
787997129661610257,5,8228819047192,352200331,1992/08/10,2018/09/05,3738.0,2021/10/18,42
136330980956616304,52,3240668968767,140582374,1987/12/05,2020/08/27,3333.6,2022/02/06,38
531202966869552006,9,2827591153115,586023858,1989/05/15,2019/11/10,4467.9,2022/05/02,21
167739475930761500,51,6206300379705,061211704,1983/09/03,2019/07/09,3805.9,2021/07/18,33
271716254331051274,63,3264171370146,289727518,1984/07/04,2019/10/30,3726.5,2021/07/10,27
210777074956361899,7,9620826293130,688010350,1982/04/26,2017/04/04,3611.1,2021/09/06,40
821396968634822425,14,4042860730579,204471792,1997/02/13,2020/08/13,4714.8,2021/07/21,21
946340475421833534,14,6154217544015,613528603,2002/01/24,2018/12/29,4002.1,2022/04/02,25
462101214592533623,9,4704620097536,035747020,1994/04/21,2019/06/27,2767.4,2022/05/08,30
374716012572673951,41,8401976035802,462620660,1997/02/28,2020/08/11,4053.5,2022/01/14,24
172961002040432694,22,4283206738589,064354172,1994/06/09,2017/02/06,4630.6,2022/02/01,42
225369880503400924,7,0783479530639,049572214,1983/04/20,2019/06/19,2280.6,2021/11/06,35
159555610754461538,51,2337810650331,667533474,1981/03/28,2022/04/29,2412.6,2022/02/05,28
676449989443384365,56,8330775018536,105744926,1998/07/03,2017/06/07,5705.6,2021/12/30,34
570623960960285266,51,1369415808160,954888278,1999/12/01,2019/06/12,4096.6,2021/08/14,27
580044419321915494,51,9686521472935,612380111,1983/12/20,2021/07/29,5609.7,2021/12/04,30
510656875662073900,29,4144954579363,922878580,1999/11/23,2018/11/07,4762.5,2021/11/08,37
090118179441320520,12,6946451897172,010507867,1995/10/20,2021/05/17,3475.8,2022/05/24,38
736550687944377346,66,6102410892270,446096514,1987/12/07,2021/05/04,5171.8,2022/03/02,28
004908623109961804,36,9552471434247,640617066,2002/09/04,2017/12/01,4541.6,2022/05/18,24
729732247041565146,21,1370269052538,304185079,2001/07/27,2020/07/06,5476.1,2021/10/18,34
007695728448204537,59,9393703963117,494019176,1980/04/02,2017/05/04,3833.1,2022/01/12,27
737533862700022234,3,9356834108633,981422439,1989/11/18,2020/06/19,4886.2,2021/06/15,42
026980420841364596,23,1177394057955,769495279,1982/12/15,2019/08/29,3584.5,2021/11/10,28
550847643014690692,40,4064801119111,493306624,1983/10/12,2017/06/22,2413.0,2022/02/26,42
108320859161899976,62,5122234227557,387839488,2003/04/15,2017/02/11,3343.9,2022/04/11,20
790126009343604697,5,4749723161848,313612925,1985/01/08,2022/01/04,3787.0,2021/08/13,22
247868372854615374,38,9685854708117,655434920,1985/01/08,2019/07/28,3662.9,2022/05/30,37
772401997479463804,49,1986700724904,583026687,1988/04/22,2016/05/14,4943.5,2022/05/29,32
182871215521969953,35,2086790742035,345414483,2001/03/23,2021/01/30,2731.0,2022/05/04,23
489978192324287428,22,7233409664180,882441779,2002/07/30,2021/12/02,2704.4,2021/07/06,37
126585289622071052,64,2091777889056,724919227,1988/01/19,2020/10/15,4655.8,2021/08/19,40
832043998537682838,1,9088412218328,208583397,1985/05/14,2018/08/08,2307.4,2021/07/11,36
666600491457308927,9,9592898848977,523559281,2001/12/09,2018/11/15,3893.5,2021/07/18,22
827330037399403654,64,4943417989227,152712640,1999/06/25,2018/07/12,2670.6,2021/08/05,28
272705470482781373,32,1218324471789,450355311,1999/04/28,2021/10/26,4307.9,2021/11/15,39
400010115824276530,47,4339027951633,220573752,1980/08/31,2021/12/20,4889.2,2022/04/29,31
915252802945903161,41,3774845070460,780062872,1984/01/19,2016/06/15,3489.3,2022/04/02,35
742538907527469732,57,2957940633454,138075676,1987/01/23,2019/06/25,2682.6,2021/08/05,41
629320813245054214,56,2808123437577,003522687,1984/04/21,2020/11/17,3519.7,2022/04/03,36
352958634469312754,37,6705505240854,093013726,1997/04/02,2018/05/19,3051.2,2021/09/23,31
109444728227263264,46,7688615151262,671485598,1999/08/22,2019/06/05,5149.2,2021/09/21,36
457714836065136680,21,4481631239584,829409445,1995/04/16,2019/09/03,3135.4,2021/07/01,34
510821596953984822,1,9449863926183,227818271,1992/05/13,2017/08/13,4723.5,2022/02/06,24
884822605598576513,6,5973161810991,604854445,1995/06/16,2016/05/31,3126.4,2021/07/19,38
277229393784077584,35,1730719142218,349628758,1983/06/07,2018/10/13,3265.1,2021/10/21,34
610224180104847175,60,5186047322904,938892803,1991/07/14,2016/03/23,3398.9,2022/01/24,29
285129643236983006,7,2414583110257,461096667,1994/05/25,2017/03/16,3144.8,2021/08/13,23
291336944600406724,41,2432425536808,905272447,1992/08/20,2018/01/08,5395.1,2022/02/01,41
387653130787559475,56,8601885390691,775890605,1991/02/03,2016/05/23,4881.7,2022/01/19,32
395795096119291057,52,9169596722757,374565883,1996/04/29,2018/02/19,4845.6,2021/11/27,25
223421028924508088,64,6231333305960,159893919,2003/12/17,2022/03/24,3121.8,2022/02/05,25
783758497187772267,50,6026197574698,244198251,1986/08/20,2020/08/21,3089.3,2022/04/29,31
800970948927837880,13,3916734834827,613641562,1981/07/11,2018/09/29,3333.5,2021/08/11,23
933390038161455046,25,8698556598143,528896546,1995/09/07,2017/05/07,4564.3,2021/08/28,27
707970583090526844,68,1022990300676,354925502,2001/05/30,2022/05/14,5412.1,2021/06/23,21
899426180262840315,29,6572399682332,175683814,1985/12/03,2016/12/02,5758.2,2021/10/21,26
656611316351035105,54,4466064358751,293453163,1998/07/21,2019/06/14,2996.0,2022/05/21,39
097180311609446130,2,1823812624801,699780852,1985/09/22,2020/07/17,5586.4,2021/09/23,37
262832052342259636,43,7474788189150,469190254,1994/11/13,2019/08/27,5939.8,2021/12/01,33
632736846223159795,62,1943828201371,148079950,1993/07/29,2018/12/15,2969.0,2021/11/13,20
808578488377048218,65,6160204544133,974869542,1988/03/09,2021/07/14,5747.0,2022/04/27,34
082163446325057687,59,2648456286191,884527868,1980/07/06,2020/12/21,3507.4,2021/07/28,41
670123375055314772,22,4147616297842,293413109,1997/05/16,2018/05/06,4330.3,2022/05/21,31
511274729068349650,48,1319580934418,610004579,1984/04/19,2017/01/11,3086.9,2022/05/09,28
784131383205575190,45,0212828439427,551368055,1984/12/14,2018/07/05,2712.6,2021/10/15,42
359360914093606154,62,6375806449446,834410074,1982/12/21,2019/03/16,3825.5,2021/10/06,32
849836003149732867,1,4112630758883,189218335,1986/01/23,2019/06/25,4438.5,2021/07/26,28
095079302645293932,24,8322638635687,610843374,1986/07/11,2022/05/22,2353.5,2021/12/31,36
516964562576706455,12,6870335467102,664165917,1983/06/17,2022/05/30,3637.2,2022/05/23,38
030261522812453856,2,9595513427748,874966079,1996/12/19,2019/11/06,3108.0,2021/10/07,37
720316356448680654,57,0550841598144,046098046,1990/10/29,2019/11/09,3119.8,2021/12/22,24
721486036256470413,22,9044838455551,113777724,1997/11/22,2019/05/15,4078.3,2021/09/11,38
999827942939958690,12,7886805910028,011964128,1991/06/25,2019/12/14,3924.2,2021/12/09,39
086569178837600184,22,1062121556204,113928466,1984/01/15,2016/06/07,3779.1,2021/10/31,22
669883412345222332,45,6888412488314,642362833,1981/07/16,2018/10/05,4768.2,2022/01/10,22
517308865765688148,11,6733084560121,563599325,1992/01/10,2020/01/14,2270.4,2022/04/26,26
856449617300866383,11,6020898540178,165033204,1983/05/06,2020/08/22,5894.0,2022/03/05,20
172509510801292737,23,3584942508874,840064075,2003/11/20,2022/05/01,5338.2,2022/03/20,28
974256832759941497,24,4024613106731,274208827,1987/02/15,2016/04/14,4502.5,2021/09/13,38
902124479369300609,51,3410844245240,953853448,1992/03/05,2016/04/01,4721.4,2021/08/27,28
613102528209867839,43,4379869257856,255202302,1995/08/14,2016/08/01,5723.9,2022/04/22,39
750207291097019028,68,6143047786358,977178141,1993/08/09,2018/02/07,2911.5,2022/02/21,38
462702218874731035,64,3232323825358,240573748,1980/08/01,2016/07/24,5035.5,2022/05/20,36
518327769028219729,7,7007052595126,169532063,1987/08/28,2017/06/26,4294.9,2022/04/19,38
431115163327942660,54,1954073925662,838427107,1992/09/24,2016/03/09,3437.4,2021/07/21,22
521086893434003047,33,3323693336490,711197119,1984/04/17,2016/02/08,5778.2,2021/12/30,20
203868536646459819,21,8701114973728,374283616,1989/12/06,2018/04/02,3242.1,2022/03/06,30
596149699350151050,37,2530317455958,180593800,1995/12/03,2020/07/19,5724.2,2021/08/09,32
217697935241581859,36,3552785241164,505216555,1991/10/30,2018/05/28,5774.2,2021/11/21,34
283328392327987319,9,2121442601722,764017888,1998/08/09,2019/06/09,2022.3,2022/03/04,26
781378486401359600,2,7692227228135,227791369,1984/05/27,2019/10/25,5069.8,2021/08/21,33
438389169162230178,61,1767228650155,638249197,1988/12/14,2019/01/31,2238.4,2021/09/29,36
100795952072260175,17,6663065072969,884443777,1991/08/24,2017/01/18,3278.2,2022/04/11,33
889316781496594204,68,6037145903559,586003530,1990/05/08,2017/07/27,4156.3,2021/11/19,23
126877575771003055,54,5713139873082,093761664,2000/06/14,2017/11/30,5967.9,2021/11/05,32
862872533353169494,66,2679723844391,080712604,2002/08/21,2020/04/23,5325.4,2021/08/29,24
204474694172112842,60,3330513309181,377225122,2001/04/07,2021/11/12,4044.5,2021/11/26,39
755494117330047133,64,8995828634977,239761689,1981/11/16,2022/01/29,2920.0,2022/06/14,37
554756155252380704,58,7332238092382,636334512,1996/11/21,2021/11/06,4393.8,2021/09/09,22
247623755674907309,4,9192609996489,875244972,1996/10/29,2022/02/23,4849.4,2022/03/18,38
209609724947136027,43,4628589150360,559491728,2003/04/16,2017/09/15,2035.7,2021/11/05,30
219468989531359944,17,2398581879871,728999868,1998/12/24,2016/01/02,5408.2,2021/06/16,36
489666801008499723,14,5801551394165,601814258,1996/12/05,2016/12/20,2712.2,2021/10/26,39
462938386602388785,41,2407980266555,501757513,1983/10/08,2020/09/19,4536.3,2022/05/03,26
289990652655484381,60,7830341100606,252030088,1985/03/23,2022/06/06,3253.4,2021/10/03,27
790658754203834883,2,2405752321310,498276664,1995/09/20,2018/12/18,4536.0,2022/06/14,29
062387576389959476,11,7592767458882,297075674,1983/12/08,2020/07/07,3785.1,2022/06/13,29
358022115816051477,24,3287903833710,291739117,1981/11/29,2020/12/14,4524.1,2022/03/23,37
360441444220460493,37,8719131445290,232768934,1980/02/08,2022/01/25,5245.6,2022/03/18,22
686737080640661770,67,0191680630919,127751107,1984/05/25,2020/05/12,5238.5,2022/02/24,25
617638118927716272,52,1689805199398,309260644,1994/04/13,2021/07/01,5276.8,2022/05/28,29
946990991319270467,55,3838543618853,218209078,1984/02/13,2021/03/12,4542.8,2021/12/29,21
278483638737086463,47,7110435459460,203486188,1996/08/02,2016/06/11,3933.6,2022/05/27,30
766008006004059394,57,5582081371843,741779945,1982/03/26,2021/11/03,3108.3,2021/07/31,23
695994161938535440,18,1881440410229,672971125,1994/09/30,2021/06/09,4115.3,2022/06/09,36
519287646807649027,67,7253588679499,296069788,1981/12/18,2021/10/08,5888.9,2021/08/02,23
223354835000975292,45,1021841527863,230446215,1986/10/24,2018/01/04,5370.7,2021/09/06,20
117096231782877046,13,3584457930763,668215955,1983/12/04,2021/08/14,5637.3,2021/09/09,22
653701966349091351,38,1086858580069,017954122,1995/01/17,2018/04/04,3971.5,2022/06/01,30
763348132054705429,51,2451934141311,576796004,1998/12/22,2019/06/13,5620.9,2021/08/29,23
772459829560889387,15,8995177645160,511481619,1982/09/11,2019/08/03,5346.9,2022/03/31,24
717602313551958332,25,8562439299831,715724026,1996/12/05,2017/11/02,2346.3,2021/12/26,22
623741212299691196,37,6931996154115,811422041,2000/08/05,2021/02/22,4008.0,2021/11/25,37
444676742759692208,35,0380048013461,739790400,1990/01/27,2017/08/19,4034.5,2022/05/31,26
089806820094484926,2,8182867749744,670965767,1991/02/12,2016/02/08,4195.3,2022/02/13,40
888567678104272436,65,1276753377809,942347785,1986/08/01,2017/06/24,3066.3,2021/12/28,27
463649334094914655,49,3444077480283,830923163,1995/02/05,2018/12/13,5905.9,2021/11/02,41
865527401687847392,68,3005831745145,920861162,1993/10/18,2021/02/21,2198.3,2021/12/24,31
