curp,nombre ,apPat,apMat,calle,numero,cp,estado,email
670588387019795635,xavier,pascual,lopez,504 Delladonna Place,49,81957,nayarit,pwoloschinski3f@admin.ch
073071617808932078,cristian,gomez,ayala,29096 Monterey Pass,76338,65302,durango,sbredgeland3g@godaddy.com
400655848861258896,antonio,aguilera,arnalot,5 Waubesa Plaza,43,17788,queretaro,esilson3h@com.com
771954899090109385,mariona,garrido,mulet,486 Manley Trail,7726,07607,baja california,ebarrett3i@tamu.edu
348125770669975149,miquel,garcia,dhaene,65 Main Pass,63928,60653,estado,yswatton3j@sina.com.cn
816829492162291494,ramon,garcia,garcia,27 Northview Alley,37677,22631,aguascalientes,aquixley3k@nydailynews.com
438096923911880866,david,flores,fontanet,985 Nevada Way,8685,65895,chihuahua,rstotherfield3l@slideshare.net
900850927499858298,carla,sanchez,aguilar,257 7th Avenue,27,45815,puebla,djagels3m@foxnews.com
511075815282961049,david,fontanet,mas,68715 Vera Trail,8,40805,baja california sur,ccaldwell3n@apache.org
992431018581691799,aina,rivero,boix,241 Straubel Center,9154,12488,oaxaca,cgaspero3o@oracle.com
292571514748668676,eric,granados,gonzalez,805 Brickson Park Place,7148,58211,yucatan,nbullough3p@discuz.net
164624270706180918,gerard,uceda,almoguera,7635 Monterey Pass,94173,33906,mexico,kbickers3q@mysql.com
115135270944843973,eloi,alsina,alcaide,4641 Cascade Trail,538,12990,aan luis potosi,gpreist3r@pinterest.com
696416159689821206,joan,modrego,barea,8 Moose Drive,6028,14252,jalisco,jchong3s@w3.org
200169430735436605,josep,molina,canellas,09745 Hoepker Park,315,29762,jalisco,taspling3t@i2i.jp
585866312796576814,julia,aguilera,parramon,250 Westport Street,593,20820,baja california,olarcher3u@skype.com
121643229632678071,jose,barea,arnau,98 Ludington Crossing,886,17333,estado,aacors3v@cyberchimps.com
093014687833152772,mariona,ferrer,fernandez,6595 Dexter Avenue,2,21508,oaxaca,shamor3w@state.tx.us
057715953633820565,oliver,aloy,garcia,600 7th Avenue,6425,27838,veracruz,sdudden3x@loc.gov
075285471172647218,jordi,garrigassait,garcia,66169 Bobwhite Hill,619,35963,yucatan,dcoveney3y@home.pl
203855768404839902,ines,girvent,granados,847 Jay Avenue,2,07101,zacatecas,nkhosa3z@macromedia.com
378334297478242011,valenti,aguilar,trancho,2015 Lakeland Plaza,8014,73847,michoacan de ocampo,sinsley40@taobao.com
456000352157821226,mario,garcia,tarrago,51 Jackson Circle,2,26919,sinaloa,jroncelli41@ycombinator.com
873723019800059515,aina,culleres,benitez,39 Stone Corner Circle,2,69470,jalisco,pdransfield42@macromedia.com
647705056001322774,esther,arevalo,jose,961 Lakewood Court,49118,01873,estado,bbontine43@toplist.cz
188783155161326603,adria,arnalot,figuls,66 Reinke Parkway,69,32626,yucatan,mlawlings44@vimeo.com
276154110437424526,veronica,avila,benitez,69 Nova Place,00,68378,tabasco,jmcphelimy45@archive.org
536818923291559120,marta,barea,aguilar,951 Hallows Avenue,9,35582,morelos,lservant46@plala.or.jp
227397392698364439,cristina,lara,zafra,765 Carberry Crossing,6,91142,oaxaca,awiddop47@xinhuanet.com
111129851969415451,begonya,baraldes,farrando,578 Burrows Crossing,8150,11861,zacatecas,baddlestone48@arstechnica.com
276858815793067770,sandra,flores,gomez,0719 Karstens Road,53,43518,tamaulipas,tkesey49@themeforest.net
073678292641766162,gemma,benitez,bidault,27 Fuller Street,0,51645,guerrero,lkaszper4a@arizona.edu
654168048332865991,maria,altimiras,monros,62453 Rockefeller Alley,77,29935,durango,maimer4b@comsenz.com
990960415489185970,marta,hermoso,aroca,05 Pond Terrace,2277,88933,zacatecas,cclaringbold4c@boston.com
375782651770308070,monica,berengueras,gomez,140 Sloan Road,34,09697,colima,mcaddock4d@smh.com.au
824824925210305379,david,maturano,aloy,9 Donald Parkway,299,76790,queretaro,dfontell4e@cisco.com
791070521046373690,laura,armenteros,alvarez,7 Claremont Circle,66,97123,guerrero,cklehn4f@nba.com
446048716261157377,maria,gonzalez,fontanet,41397 Bartelt Pass,15861,84057,puebla,ocullotey4g@irs.gov
626405244154487580,andreu,vega,sanchez,1871 Clove Avenue,4,05560,durango,lgiordano4h@over-blog.com
397107425216624362,guillem,mas,abdin,32747 Straubel Hill,029,81394,zacatecas,beddoes4i@moonfruit.com
084122678326490376,alejandro,aligue,merino,6 Buell Avenue,7249,82884,quintana roo,nkid4j@census.gov
028635098982352359,maria,aligue,altimiras,43 Hintze Parkway,6,35409,nayarit,arocca4k@fastcompany.com
128381876126184378,marc,masjuan,alonso,2 Cascade Circle,909,76820,estado,grobelow4l@shinystat.com
855960391146331648,ingrid,girvent,dhaene,9 Moland Drive,60532,54027,yucatan,rschwandt4m@sciencedaily.com
299021810346955708,berta,pascual,rodriguez,915 Fulton Park,532,14456,guerrero,lseery4n@odnoklassniki.ru
453863260510935369,mireia,andres,garcia,8 Tomscot Circle,0,01429,estado,ayacob4o@exblog.jp
467045504542611217,ana,valles,franch,89918 Esker Road,4,85779,tlaxcala,mchaplyn4p@uiuc.edu
974520127821415446,gerard,armenteros,ariza,53 Barnett Junction,32,05146,guerrero,ffiller4q@theatlantic.com
518379156411213697,laura,abadias,abdin,2 Sunbrook Street,04,89894,morelos,cbarthelme4r@tripadvisor.com
135121858450408152,oriol,gese,arocas,1113 Longview Lane,6930,09336,veracruz,pmarriot4s@technorati.com
473345705709894661,enric,dhaene,franch,02154 Talisman Terrace,2344,83532,zacatecas,tgooderidge4t@webnode.com
465476229136662366,antoni,baraldes,artigas,09 Forest Drive,0,65038,jalisco,smissington4u@ed.gov
223991249737831002,jose,parcerisa,alins,1736 Ramsey Court,7,76042,nuevo leon,bwillishire4v@intel.com
199095811331216055,gemma,ayala,benitez,56 Stephen Trail,3552,08868,nuevo leon,frawles4w@com.com
616831955788575289,lucia,arnau,alapont,8132 Victoria Road,6,25680,queretaro,apeele4x@123-reg.co.uk
332309563601208372,adria,torrescasana,mas,616 Rigney Place,750,15660,chiapas,cvassie4y@slashdot.org
821086994507142290,virginia,barcons,culleres,505 Vermont Hill,837,85814,aguascalientes,classeter4z@va.gov
148227595682627319,virginia,lara,bajona,81183 Dixon Alley,09,65141,michoacan de ocampo,ndefrancisci50@ycombinator.com
930278077214146341,gemma,badia,ferrer,53 Hazelcrest Park,33537,64500,morelos,cwailes51@army.mil
147399395903674869,ivet,alvarez,dhaene,17271 Bluejay Lane,604,09993,ciudad de mexico,esilverstone52@mapquest.com
410436609830346240,jordi,modrego,badia,49 Lotheville Court,09936,43751,sinaloa,bridd53@canalblog.com
206250775984395269,dimas,hermoso,alberich,3546 Fieldstone Drive,8,41965,sinaloa,nstratten54@bandcamp.com
524727392440001007,ivet,gonzalez,icart,46428 Talmadge Junction,6,98786,quintana roo,scrunkhorn55@tamu.edu
033025506272309532,cristina,figueras,tatje,8703 Moulton Plaza,4747,61203,tlaxcala,bdelcastello56@ibm.com
114986552884763351,ines,figueras,garcia,6 Harbort Pass,5504,02951,hidalgo,wlunney57@diigo.com
182688345132637324,maria,armencot,arissa,68 Mallard Center,5,66476,quintana roo,ctoffoloni58@vkontakte.ru
238608692343546704,cristina,aligue,maturano,1790 Veith Street,9404,20377,sonora,liacobacci59@furl.net
483632759049693788,gemma,torne,hidalgo,6 Waxwing Street,68907,11236,jalisco,pjamary5a@goo.ne.jp
603753259381948212,eliot,merino,bidault,84 Rusk Terrace,958,79945,ciudad de mexico,cduthy5b@cdc.gov
096074573567985753,cristina,baraldes,arnalot,9 East Road,58,80942,baja california,grayburn5c@1688.com
299394466214090839,cristian,arnalot,avila,16 Clemons Street,79210,64739,aan luis potosi,lportress5d@exblog.jp
592835056550144227,oliver,andres,baena,69602 Stephen Trail,01,64292,zacatecas,gelen5e@walmart.com
280361738752135961,aleix,alonso,alvarez,2 Menomonie Pass,296,43793,aan luis potosi,bproudlock5f@a8.net
529660991288367852,carla,figuls,amigo,0247 Blue Bill Park Circle,910,65646,hidalgo,bbernhardi5g@techcrunch.com
890045622646270880,maria,gomez,aguilar,584 Sachs Court,46,67216,tabasco,jvandenbosch5h@sfgate.com
005133140699251734,mireia,bastardas,aligue,58097 Katie Circle,847,51544,puebla,adelorenzo5i@hugedomains.com
916305003623267021,adria,barcons,sanchez,573 Village Green Plaza,8289,11368,aguascalientes,ahargerie5j@jalbum.net
416537171369736158,lluis,serarols,gomez,2784 East Lane,95326,36241,guerrero,zswitzer5k@dot.gov
606142686918907822,sergi,alavedra,canellas,66242 Emmet Crossing,5,24501,tabasco,vmingo5l@seesaa.net
575667511712493830,oriol,figueras,comas,392 Wayridge Court,94,15662,zacatecas,scouzens5m@quantcast.com
372415724571493574,maria,andreu,aguilar,96 Debs Circle,28,14226,baja california sur,msulman5n@fema.gov
017069039788341553,david,florido,bidault,89 Darwin Drive,76214,33028,mexico,pskally5o@phoca.cz
365997828797346802,adria,dhaene,biosca,7 Fieldstone Crossing,02923,12493,tabasco,zcarlino5p@yahoo.co.jp
956771405480755780,gerard,ayala,lopez,3532 North Center,9336,68647,nayarit,ftuny5q@sogou.com
130789798674543416,berta,ferreras,ayala,65216 Swallow Court,7158,58190,ciudad de mexico,mbuckley5r@fc2.com
892611417090369153,marta,culleres,moreno,92 Shopko Avenue,4199,23597,puebla,lgrzegorczyk5s@slate.com
993327407461538515,maria,ayala,puig,26 Morrow Center,519,95940,yucatan,lormonde5t@webs.com
313123492681303215,sandra,flores,florido,325 Judy Center,3124,58156,baja california sur,agorgen5u@nih.gov
316869568289587079,lluis,algue,blanco,2106 Florence Plaza,3462,57948,baja california,reasterby5v@is.gd
740306454139170023,sergi,troyano,sunye,7 Mcbride Parkway,6521,15026,coahuila de zaragoza,npatten5w@bizjournals.com
214548970969037885,abel,ayala,garcia,87 East Circle,30371,71301,nayarit,gyate5x@mapquest.com
259131222291355228,david,troyano,alvarez,0158 Kipling Crossing,92,53254,estado,rdosdell5y@baidu.com
511291194414072170,sandra,andres,torruella,05 8th Court,9,44625,chiapas,emorsom5z@sakura.ne.jp
482403458994850384,marc,gavilan,puig,070 Cambridge Crossing,9361,65413,quintana roo,bmackenney60@list-manage.com
695839938606492437,dounya,garcia,pardo,955 Canary Road,364,08166,morelos,mossulton61@indiatimes.com
603516153354626913,maria,prat,bidault,719 Sheridan Trail,474,55715,zacatecas,ivoyce62@upenn.edu
260564983908561607,maria,vega,rodriguez,758 Shopko Court,152,14259,oaxaca,ecranidge63@twitpic.com
479913268272903460,anna,gomez,alvarez,595 Eagle Crest Park,3882,43175,baja california,cpalfery64@princeton.edu
889859909323878891,albert,aguilar,martorell,41 Blue Bill Park Crossing,24,14207,tlaxcala,rmccracken65@sourceforge.net
548516507952332149,jose,garrido,molina,4934 Bunker Hill Place,5099,68838,oaxaca,cpyett66@census.gov
024832812594771975,ferran,compte,garcia,87 Milwaukee Way,8,33352,baja california,apetche67@naver.com
708306806884554175,juan,uceda,badia,12 International Park,3,84957,sinaloa,ashaxby68@google.de
643314494334157089,aina,puig,ayala,66729 Pleasure Way,12,44765,sinaloa,amyrie69@sitemeter.com
675107538408382757,joan,rodriguez,listan,0037 Buhler Alley,49,23579,guanajuato,ahumpherston6a@aol.com
493116265693362540,daniel,aligue,garcia,283 Sutherland Center,915,90739,colima,cmcmeekin6b@hc360.com
667039888615767953,alexia,casas,biosca,40451 Tennyson Alley,114,58414,queretaro,gtreeby6c@clickbank.net
764059164816977652,jairo,alvarez,pueyo,0 Trailsway Plaza,8,51906,chihuahua,hridges6d@foxnews.com
658150163683717880,maria,soto,garcia,64048 Mandrake Lane,054,86235,morelos,mgooke6e@slate.com
063412591977308350,jordi,torne,icart,63 Marquette Point,2445,13387,puebla,bpanter6f@wordpress.com
124190107636415253,julio,gonzalez,sanchez,42 Nobel Trail,067,80418,jalisco,mjump6g@is.gd
381287496003141292,toni,alsina,biosca,249 Loomis Drive,3546,21619,guerrero,scorah6h@homestead.com
304993835238461983,gemma,morales,luque,924 Petterle Alley,09772,54825,ciudad de mexico,vatlee6i@yahoo.com
973524568264815712,miquel,bidault,rueda,9 Cordelia Parkway,39629,20090,sinaloa,cpolleye6j@berkeley.edu
721410276910500083,anna,tatje,parcerisa,7 Linden Way,80,12685,michoacan de ocampo,gmckerlie6k@tiny.cc
983920269407643030,laura,arissa,aloy,8443 Kings Park,5351,91201,aguascalientes,vmain6l@vistaprint.com
172036248895246819,adria,gonzalez,asensio,5513 Fieldstone Point,268,97993,tamaulipas,jholdall6m@reverbnation.com
012122637227166098,daniel,domenech,alavedra,1874 Schmedeman Road,69009,90463,sinaloa,ewhiteoak6n@netlog.com
180002352936502745,esther,baena,icart,9795 Melrose Lane,73416,16369,tamaulipas,agarretson6o@wordpress.org
012954176164115209,jose,masana,aguilera,54752 Morningstar Alley,174,34687,sinaloa,ewile6p@unblog.fr
928040488205957279,lluis,lara,masjuan,28343 Graceland Plaza,6,99300,hidalgo,vlamplugh6q@odnoklassniki.ru
102763965767764396,berta,gavilan,flores,36572 Butterfield Road,1875,59060,jalisco,ahowgill6r@youtu.be
004818413985066717,julia,benitez,culleres,1 East Hill,23066,58750,durango,mragat6s@shop-pro.jp
002819194757408289,josep,ferreras,flores,5 Tennyson Junction,910,88226,sonora,cdunrige6t@amazon.co.uk
939963669300734667,marta,garcia,alvarez,33 Glendale Lane,5,57786,campeche,scaddie6u@chron.com
733876543997794400,gemma,casas,biosca,1 Swallow Parkway,28,78690,sonora,dfrankiewicz6v@google.fr
598650460315787534,begonya,rodriguez,biosca,89965 Roth Road,6,28803,durango,oconti6w@discovery.com
955164459305953566,laura,icart,baraldes,29616 Claremont Alley,45246,75658,guanajuato,mpaddell6x@google.ru
538358759651816885,gerard,aguilera,lopez,856 Waxwing Circle,3752,42027,mexico,hlettice6y@scientificamerican.com
175610870414677356,gemma,bidault,ferrer,0 Manufacturers Center,11460,92336,guanajuato,lleary6z@example.com
939896624124212875,marta,aloy,hidalgo,87547 Eastwood Street,68,78461,ciudad de mexico,amattiazzo70@techcrunch.com
955466016268383562,adria,garrido,aloy,38934 Kim Plaza,5,04393,morelos,kcoumbe71@engadget.com
797327823096948442,raquel,figueras,libori,9454 Saint Paul Drive,20,27718,sinaloa,mambridge72@npr.org
180133158833973352,ricard,alins,baraldes,97948 Monument Place,268,97951,baja california,crawlin73@ycombinator.com
315269189145941027,noelia,puig,parramon,667 Bowman Circle,4935,22309,guanajuato,klardnar74@php.net
